gendered,male,female,enhanced,index
"Ein positives Kund_inerlebnis ist entscheidend, damit die Kund_innen gerne wiederkommen.","Ein positives Kundenerlebnis ist entscheidend, damit die Kunden gerne wiederkommen.","Ein positives Kundinerlebnis ist entscheidend, damit die Kundinnen gerne wiederkommen.","Ein positives Erlebnis für unsere Kundinnen, Kunden und Personen mit anderen geschlechtlichen Identitäten ist entscheidend, damit alle, die unsere Dienstleistungen oder Produkte in Anspruch nehmen, gerne wiederkommen und uns treu bleiben, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",954
Unsere Website ist sehr kund:infreundlich gestaltet und ermöglicht eine einfache Navigation.,Unsere Website ist sehr kundenfreundlich gestaltet und ermöglicht eine einfache Navigation.,Unsere Website ist sehr kundinfreundlich gestaltet und ermöglicht eine einfache Navigation.,"Unsere Website ist so gestaltet, dass sie für alle Nutzerinnen, Nutzer und Personen mit anderen geschlechtlichen Identitäten sehr freundlich und zugänglich ist. Dies ermöglicht eine einfache und intuitive Navigation, die allen Personen, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, ein angenehmes Nutzungserlebnis bietet.",955
"Der regelmäßige Kund_inkontakt ist wichtig, um die Bedürfnisse der Kund_innen besser zu verstehen.","Der regelmäßige Kundenkontakt ist wichtig, um die Bedürfnisse der Kunden besser zu verstehen.","Der regelmäßige Kundinkontakt ist wichtig, um die Bedürfnisse der Kundinnen besser zu verstehen.","Der regelmäßige Kontakt zu unseren Kundinnen, Kunden und Personen mit anderen geschlechtlichen Identitäten ist von großer Bedeutung, um die vielfältigen Bedürfnisse und Wünsche derjenigen, die unsere Produkte oder Dienstleistungen in Anspruch nehmen, besser zu verstehen und darauf eingehen zu können.",956
Über mein Kund:inkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.,Über mein Kundenkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.,Über mein Kundinkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.,"Über mein Kund:innenkonto, das allen Personen, unabhängig von ihrer Geschlechtsidentität, offensteht, kann ich meine Bestellungen und Rechnungen auf eine bequeme und unkomplizierte Weise verwalten, sei es als Kundin, Kunde oder als Person mit einer anderen geschlechtlichen Identität.",957
"Bitte geben Sie bei der Bestellung Ihre Kund_innummer an, um den Prozess zu beschleunigen.","Bitte geben Sie bei der Bestellung Ihre Kundennummer an, um den Prozess zu beschleunigen.","Bitte geben Sie bei der Bestellung Ihre Kundinnummer an, um den Prozess zu beschleunigen.","Bitte geben Sie bei der Bestellung Ihre Kundennummer an, um den Prozess zu beschleunigen. Diese Kundennummer gehört zu Ihnen, unabhängig davon, ob Sie sich als Frau, Mann oder mit einer anderen geschlechtlichen Identität identifizieren.",958
"Unser Unternehmen verfolgt eine strikt zielgruppenorientierte Strategie, um die Zufriedenheit zu maximieren.","Unser Unternehmen verfolgt eine strikt kundenorientierte Strategie, um die Zufriedenheit zu maximieren.","Unser Unternehmen verfolgt eine strikt kundinorientierte Strategie, um die Zufriedenheit zu maximieren.","Unser Unternehmen, das sich um die Bedürfnisse und Wünsche verschiedener Gruppen von Menschen bemüht, verfolgt eine klar definierte Strategie, die sich gezielt an alle potenziellen Zielgruppen richtet, um die Zufriedenheit jeder einzelnen Person, unabhängig von Geschlecht, Geschlechtsidentität oder anderen individuellen Merkmalen, zu maximieren.",959
"Die KundInorientierung unseres Teams zeigt sich in der hohen Qualität des Service, den wir bieten.","Die Kundenorientierung unseres Teams zeigt sich in der hohen Qualität des Service, den wir bieten.","Die Kundinorientierung unseres Teams zeigt sich in der hohen Qualität des Service, den wir bieten.","Die Ausrichtung auf die Bedürfnisse und Wünsche unserer Kundinnen, Kunden und aller Personen mit anderen geschlechtlichen Identitäten, die unsere Dienstleistungen in Anspruch nehmen, zeigt sich in der hohen Qualität des Services, den wir anbieten.",960
"Wir haben zahlreiche positive Kund/inreferenzen, die die Qualität unserer Produkte unterstreichen.","Wir haben zahlreiche positive Kundenreferenzen, die die Qualität unserer Produkte unterstreichen.","Wir haben zahlreiche positive Kundinreferenzen, die die Qualität unserer Produkte unterstreichen.","Wir haben zahlreiche positive Referenzen von unseren Kundinnen, Kunden und Personen anderer geschlechtlicher Identität, die die Qualität unserer Produkte unterstreichen, unabhängig davon, wie diese sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",961
"Der Kund:inservice steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären.","Der Kundenservice steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären.","Der Kundinservice steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären.","Der Kundenservice, der für alle Personen zuständig ist, die Unterstützung benötigen, steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären, unabhängig davon, ob Sie sich als Frau, Mann oder einer anderen geschlechtlichen Identität definieren.",962
Auf Kund_inseite gab es positive Rückmeldungen zu unserem neuen Produkt.,Auf Kundenseite gab es positive Rückmeldungen zu unserem neuen Produkt.,Auf Kundinseite gab es positive Rückmeldungen zu unserem neuen Produkt.,"Auf der Seite der Kundinnen, Kunden und Personen anderer Geschlechtsidentitäten gab es zahlreiche positive Rückmeldungen zu unserem neuen Produkt. Diese Rückmeldungen stammen von Menschen, die das Produkt erworben haben und sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität unterschiedlich definieren, seien sie Frauen, Männer oder Personen, die sich außerhalb dieser binären Geschlechterkategorien positionieren.",963
treue Kundschaft  feste Kundschaft  Kundschaftsstamm  Klientelstamm,Unser treuer Kundenstamm bildet das Fundament unseres langjährigen Erfolgs.,Unser treuer Kundinstamm bildet das Fundament unseres langjährigen Erfolgs.,"Die treue Kundschaft, die aus verschiedenen Geschlechtsidentitäten besteht, oder auch die feste Kundschaft, die aus Männern, Frauen und Personen anderer geschlechtlicher Identität besteht, sowie der Kundschaftsstamm, der sowohl Käuferinnen, Käufer als auch andere Menschen, die unsere Dienstleistungen und Produkte in Anspruch nehmen, umfasst, und die Klientel, die sich aus Personen unterschiedlicher Geschlechtsidentitäten zusammensetzt, zeigt uns ihre Loyalität und Unterstützung.",964
Wir erfüllen jeden Wunsch der Kundschaft mit größter Sorgfalt und Aufmerksamkeit.,Wir erfüllen jeden Kundenwunsch mit größter Sorgfalt und Aufmerksamkeit.,Wir erfüllen jeden Kundinwunsch mit größter Sorgfalt und Aufmerksamkeit.,"Wir erfüllen die Wünsche aller Personen, die unsere Dienstleistungen in Anspruch nehmen, gleich welcher Geschlechtsidentität, sei es männlich, weiblich oder nicht-binär, mit größter Sorgfalt und Aufmerksamkeit.",965
Die Kund/inwünsche stehen bei uns an erster Stelle und prägen unser Angebot.,Die Kundenwünsche stehen bei uns an erster Stelle und prägen unser Angebot.,Die Kundinwünsche stehen bei uns an erster Stelle und prägen unser Angebot.,"Die Wünsche der Kundinnen, der Kunden und aller Personen mit anderen geschlechtlichen Identitäten stehen bei uns an erster Stelle und sind maßgeblich prägend für unser Angebot, sodass wir sicherstellen, dass alle Bedürfnisse und Präferenzen unabhängig von Geschlecht oder Geschlechtsidentität angemessen berücksichtigt werden.",966
Unser Kund_inzentrum bietet umfassenden Support und Informationen rund um die Uhr.,Unser Kundenzentrum bietet umfassenden Support und Informationen rund um die Uhr.,Unser Kundinzentrum bietet umfassenden Support und Informationen rund um die Uhr.,"Unser Kunden-, Kundinnen- und Personen mit anderen geschlechtlichen Identitäten-zentrum bietet umfassende Unterstützung und Informationen, die für alle Personen zugänglich sind, unabhängig von deren Geschlechtsidentität, rund um die Uhr an.",967
Die hohe KundInzufriedenheit ist das Ergebnis unserer engagierten Arbeit und unseres hervorragenden Services.,Die hohe Kundenzufriedenheit ist das Ergebnis unserer engagierten Arbeit und unseres hervorragenden Services.,Die hohe Kundinzufriedenheit ist das Ergebnis unserer engagierten Arbeit und unseres hervorragenden Services.,"Die hohe Kundinnen- und Kundenzufriedenheit sowie die Zufriedenheit von Personen mit anderen geschlechtlichen Identitäten ist das Ergebnis unserer engagierten Arbeit und unseres hervorragenden Services, die darauf abzielen, die Bedürfnisse und Wünsche aller, unabhängig von Geschlecht oder Geschlechtsidentität, bestmöglich zu erfüllen.",968
Dier Künstler:in stellte deren neuen Werke in der Galerie aus.,"Der Künstler stellte seine neuen Werke in der Galerie aus.
","Die Künstlerin stellte ihre neuen Werke in der Galerie aus.
","Die Künstlerin, der Künstler und Personen mit anderen geschlechtlichen Identitäten haben ihre neuen Werke in der Galerie ausgestellt.",969
Die talentierten KünstlerInnen arbeiteten zusammen an einem großen Wandgemälde.,"Die talentierten Künstler arbeiteten zusammen an einem großen Wandgemälde.
","Die talentierten Künstlerinnen arbeiteten zusammen an einem großen Wandgemälde.
","Die talentierten Künstlerinnen, Künstler und Personen mit anderen geschlechtlichen Identitäten, die in der Kunst tätig sind, arbeiteten gemeinsam an einem beeindruckenden und großflächigen Wandgemälde.",970
Dier Kurier*in lieferte das wichtige Dokument sicher und pünktlich.,"Der Kurier lieferte das wichtige Dokument sicher und pünktlich.
","Die Kurierin lieferte das wichtige Dokument sicher und pünktlich.
","Die Person, die als Kurierin, Kurier oder in einer anderen geschlechtlichen Identität arbeitet, lieferte das wichtige Dokument sowohl sicher als auch pünktlich an den vorgesehenen Empfänger oder die Empfängerin, unabhängig von deren Geschlechtsidentität oder Geschlechtsausdruck.",971
Die Kursbetreuung unterstützte die Teilnehmenden während des gesamten Trainingsprogramms.,"Der Kursbetreuer unterstützte die Teilnehmer während des gesamten Trainingsprogramms.
","Die Kursbetreuerin unterstützte die Teilnehmerinnen während des gesamten Trainingsprogramms.
","Die Kursbetreuung, bestehend aus Personen unterschiedlichen Geschlechts, unterstützte die Teilnehmenden, die an dem Trainingsprogramm teilnahmen, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder jemand, der sich einer anderen geschlechtlichen Identität zugehörig fühlt, während des gesamten Trainingsprogramms.",972
Die Kursleitung vermittelte den Teilnehmenden die grundlegenden Techniken der Fotografie.,"Der Kursleiter vermittelte den Teilnehmern die grundlegenden Techniken der Fotografie.
","Die Kursleiterin vermittelte den Teilnehmerinnen die grundlegenden Techniken der Fotografie.
","Die Kursleitung, bestehend aus qualifizierten Fachpersonen, vermittelte den Teilnehmenden, darunter sowohl Frauen, Männer als auch Personen mit anderen geschlechtlichen Identitäten, die grundlegenden Techniken der Fotografie, um sicherzustellen, dass alle Lernenden, unabhängig von ihrer Geschlechtsidentität, die Möglichkeit hatten, ihr Wissen und ihre Fähigkeiten in diesem Bereich zu erweitern.",973
"Dier Kursteilnehmer/in war begeistert von den praxisnahen Übungen.
","Der Kursteilnehmer war begeistert von den praxisnahen Übungen.
","Die Kursteilnehmerin war begeistert von den praxisnahen Übungen.
","Die Kursteilnehmerinnen, Kursteilnehmer und Personen anderer geschlechtlicher Identität, die an dem Kurs teilnehmen, waren begeistert von den praxisnahen Übungen, die im Rahmen des Kurses angeboten wurden.",974
Die neuen Kursteilnehmer_innen wurden herzlich in die Gruppe aufgenommen.,"Die neuen Kursteilnehmer wurden herzlich in die Gruppe aufgenommen.
","Die neuen Kursteilnehmerinnen wurden herzlich in die Gruppe aufgenommen.
","Die neuen Kursteilnehmer, Kursteilnehmerinnen und Personen mit anderen geschlechtlichen Identitäten, die an dem Kurs teilnehmen, wurden herzlich in die Gruppe aufgenommen, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",975
Die*der Kämmer*in präsentierte einen neuen Haushaltsplan.,Der Kämmerer präsentierte einen neuen Haushaltsplan,Die Kämmerin präsentierte einen neuen Haushaltsplan.,"Die Kämmerin, der Kämmerer sowie Personen anderer geschlechtlicher Identität, die für die Finanzverwaltung zuständig sind, präsentierten einen neuen Haushaltsplan, der die finanziellen Aspekte und Ausgaben für die kommende Periode festlegt und von der jeweiligen Person entsprechend erläutert wurde.",976
Dier Kampfrichter*in bewertete fair und objektiv die Leistungen der Athlet*innen während des Wettbewerbs.,Der Kampfrichter bewertete fair und objektiv die Leistungen der Athleten während des Wettbewerbs.,Die Kampfrichterin bewertete fair und objektiv die Leistungen der Athletinnen während des Wettbewerbs.,"Die Kampfrichterinnen, Kampfrichter und Personen anderer geschlechtlicher Identität, die als offizielle Bewertungsinstanz während des Wettbewerbs agieren, haben die Leistungen der Athletinnen, Athleten und Personen mit anderen geschlechtlichen Identitäten fair und objektiv beurteilt.",977
Der Kandidat*invorschlag von Jana wurde einstimmig angenommen,Der Kandidatenvorschlag von Jana wurde einstimmig angenommen,Der Kandidatinvorschlag von Jana wurde einstimmig angenommen,"Der Vorschlag einer Person namens Jana, die sich als Kandidatin oder in einer anderen geschlechtlichen Identität sieht, wurde einstimmig von allen Anwesenden angenommen, unabhängig von deren Geschlechtsidentität oder Geschlechterzugehörigkeit.",978
Die Karnevalist_innen zogen mit ihren bunten Kostümen und lauten Musikinstrumenten durch die Straßen,Die Karnevalisten zogen mit ihren bunten Kostümen und lauten Musikinstrumenten durch die Straßen.,Die Karnevalistinnen zogen mit ihren bunten Kostümen und lauten Musikinstrumenten durch die Straßen,"Die Karnevalistinnen, Karnevalisten und Personen anderer geschlechtlicher Identität, die an den Feierlichkeiten teilnehmen, zogen mit ihren bunten Kostümen und lauten Musikinstrumenten, die zur festlichen Stimmung beigetragen haben, durch die Straßen, um gemeinsam Freude zu verbreiten und die Tradition des Karnevals zu feiern.",979
Als Weinkenner:in erkannte dey sofort die Qualität des Jahrgangs und genoss jeden Schluck mit Bedacht.,Als Weinkenner erkannte er sofort die Qualität des Jahrgangs und genoss jeden Schluck mit Bedacht.,Als Weinkennerin erkannte sie sofort die Qualität des Jahrgangs und genoss jeden Schluck mit Bedacht.,"Als Weinkenner, Weinkennerin sowie Personen mit anderen geschlechtlichen Identitäten, die sich mit Wein auskennen, erkannten sie sofort die Qualität des Jahrgangs und genossen jeden Schluck mit Bedacht, unabhängig von ihrer Geschlechtsidentität oder ihrem persönlichen Bezug zum Thema Wein.",980
